country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-01,-49,-47,-14,-65,-78,20
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-02,-36,-19,-12,-52,-51,14
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-03,-37,-20,-8,-43,-42,11
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-04,-23,2,-2,-23,-34,11
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-05,-29,-6,-6,-38,-35,11
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-06,-26,-7,-2,-37,-29,10
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-07,-27,-5,-5,-39,-27,10
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-08,-28,-7,-13,-39,-29,9
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-09,-29,-12,-18,-53,-34,10
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-10,-43,-26,-25,-50,-42,12
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-11,-27,-4,-12,-33,-25,9
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-12,-29,-9,-16,-44,-28,8
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-13,-47,-42,-24,-63,-72,21
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-14,-34,-18,-19,-44,-36,6
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-15,-39,-27,-28,-51,-40,8
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-16,-41,-30,-33,-62,-49,10
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-17,-50,-37,-36,-66,-52,12
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-18,-38,-22,-27,-43,-37,8
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-19,-35,-23,-27,-56,-39,7
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-20,-53,-47,-30,-68,-76,24
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-21,-38,-20,-25,-51,-39,8
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-22,-41,-30,-30,-51,-48,12
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-23,-37,-21,-29,-56,-45,9
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-24,-45,-32,-29,-62,-49,11
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-25,-33,-16,-21,-42,-35,7
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-26,-37,-21,-24,-53,-38,7
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-27,-35,-22,-17,-47,-35,7
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-28,-34,-20,-20,-52,-36,7
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-29,-33,-18,-22,-48,-36,4
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-30,-33,-17,-22,-56,-43,4
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-01-31,-45,-31,-27,-63,-50,8
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-01,-33,-11,-18,-47,-34,2
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-02,-37,-17,-21,-55,-37,4
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-03,-37,-22,-17,-52,-38,3
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-04,-38,-20,-22,-54,-37,4
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-05,-37,-18,-22,-49,-37,2
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-06,-37,-20,-23,-65,-44,4
CV,Cape Verde,,,,,,ChIJMVERWSGPNQkRH-oY-TbyGms,2021-02-07,-51,-34,-25,-64,-50,7
