country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-01,-66,-58,-13,-67,-85,14
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-02,-39,-26,-8,-45,-47,2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-03,-31,-18,-19,-38,-27,0
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-04,-24,-14,-16,-34,-42,5
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-05,-22,0,-25,-30,-42,4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-06,-12,22,-6,-14,-45,1
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-07,-58,-38,-20,-53,-81,9
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-08,-47,-30,-22,-50,-73,10
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-09,-29,-14,-18,-35,-31,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-10,-23,-10,-15,-30,-19,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-11,-19,-11,-18,-27,-19,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-12,-18,-1,-22,-24,-19,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-13,-17,5,-19,-21,-21,-6
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-14,-24,-9,-18,-31,-26,-5
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-15,-32,-16,-31,-38,-25,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-16,-32,-17,-37,-39,-22,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-17,-34,-20,-36,-41,-26,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-18,-29,-20,-29,-36,-23,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-19,-27,-11,-28,-33,-24,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-20,-24,-5,-28,-28,-23,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-21,-24,-9,-21,-31,-21,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-22,-28,-10,-22,-33,-20,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-23,-28,-11,-20,-34,-20,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-24,-32,-16,-29,-36,-21,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-25,-29,-21,-31,-35,-20,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-26,-26,-10,-27,-31,-20,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-27,-26,-8,-27,-30,-20,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-28,-32,-15,-23,-37,-23,-1
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-29,-30,-9,-24,-36,-20,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-30,-31,-11,-27,-37,-20,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-01-31,-32,-14,-30,-38,-23,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-01,-30,-18,-27,-36,-20,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-02,-26,-8,-29,-34,-20,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-03,-24,-6,-30,-33,-20,-5
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-04,-26,-10,-25,-35,-20,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-05,-28,-9,-23,-36,-19,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-06,-31,-13,-26,-40,-24,-4
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-07,-37,-22,-29,-44,-24,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-08,-33,-24,-31,-40,-22,-2
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-09,-26,-9,-29,-37,-20,-3
MD,Moldova,,,,,,ChIJoWm3KDZ8yUARy6xT36wZgSU,2021-02-10,-20,0,-26,-30,-19,-5
