country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-01,21,45,16,-8,-13,6
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-02,20,22,21,-1,2,5
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-03,41,65,26,5,2,5
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-04,43,68,25,3,4,3
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-05,33,52,21,1,4,3
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-06,29,48,15,-11,-4,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-07,32,14,16,-6,4,4
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-08,25,51,19,-13,-10,3
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-09,25,17,25,-12,3,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-10,45,61,24,-8,4,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-11,50,63,26,-6,6,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-12,42,54,24,-9,5,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-13,37,49,16,-14,-2,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-14,36,12,13,-16,1,2
AF,Afghanistan,,,,,,ChIJbQL_-LZu0TgReNqWvg1GtfM,2021-01-15,25,40,11,-20,-12,2
