country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-01,-13,13,25,18,-8,6
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-02,-24,6,13,11,4,6
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-03,-17,10,14,19,0,7
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-04,-20,7,6,12,-5,8
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-05,-20,5,6,12,-6,7
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-06,-15,15,4,15,-5,7
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-07,-15,14,8,15,1,7
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-08,-15,15,8,15,0,7
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-09,-19,9,8,12,9,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-10,-11,14,8,16,2,6
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-11,-13,14,7,15,-3,6
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-12,-15,11,1,12,-6,6
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-13,-14,17,0,15,-8,2
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-14,-25,0,6,-3,-41,6
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-15,-23,-1,-4,-2,-19,3
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-16,-27,-4,-7,-1,-9,3
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-17,-16,6,-2,7,-9,4
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-18,-17,7,-2,5,-12,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-19,-18,3,-5,2,-12,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-20,-18,6,-8,3,-12,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-21,-18,6,-3,2,-6,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-22,-17,9,3,7,-7,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-23,-23,2,-1,0,-5,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-24,-14,10,4,11,-4,4
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-25,-15,11,3,8,-8,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-26,-16,6,1,5,-9,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-27,-16,9,-4,6,-9,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-28,-15,11,3,9,-4,5
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-29,-14,15,5,13,-5,4
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-30,-19,10,8,9,-3,4
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-01-31,-11,19,9,15,-2,4
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-02-01,-13,19,7,14,-6,4
NP,Nepal,,,,,,ChIJz2gufcfolTkR3obM0LyaojQ,2021-02-02,-13,17,6,12,-7,3
