country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-01,-38,-19,-2,-52,-67,11
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-02,-28,13,3,-25,-27,4
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-03,-25,11,13,-20,-17,2
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-04,-18,29,-6,-14,-30,4
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-05,-9,39,-1,1,-30,3
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-06,-4,45,5,-15,-38,4
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-07,-49,-1,-25,-27,-47,12
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-08,-49,6,-27,-26,-44,12
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-09,-52,5,-28,-33,-37,8
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-10,-71,-45,-48,-39,-48,13
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-11,-36,34,-27,-27,-46,8
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-12,-32,36,-25,-24,-46,7
LB,Lebanon,,,,,,ChIJraoihAIXHxURcPkAbAk0fcw,2021-01-13,-33,39,-25,-27,-46,4
