country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-01,-33,21,-35,-26,-46,21
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-02,-26,27,-25,-14,-9,14
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-03,-22,26,-17,-10,-7,11
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-04,-22,34,-21,-6,-8,11
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-05,-28,23,-32,-14,-9,13
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-06,-27,25,-35,-15,-8,14
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-07,-27,26,-34,-16,-10,14
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-08,-29,28,-38,-19,-7,15
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-09,-28,19,-41,-20,-2,14
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-10,-28,7,-39,-27,-10,14
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-11,-20,26,-26,-18,-45,17
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-12,-21,29,-24,-10,-8,9
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-13,-24,24,-29,-15,-10,8
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-14,-26,21,-31,-20,-15,7
MA,Morocco,,,,,,ChIJjcVRlmGICw0Rw_8sxIGT09k,2021-01-15,-30,19,-35,-23,-14,8
