country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-01,-67,-53,-9,-74,-70,30
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-02,-43,-15,-13,-53,-32,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-03,-46,-21,-16,-47,-10,16
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-04,-33,-3,-9,-46,-29,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-05,-34,-4,-10,-45,-32,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-06,-35,-4,-11,-47,-31,21
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-07,-36,-6,-14,-48,-32,21
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-08,-36,-5,-21,-49,-28,22
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-09,-34,-4,-22,-44,-12,16
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-10,-36,-6,-18,-44,-4,14
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-11,-34,-6,-18,-46,-29,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-12,-35,-9,-22,-46,-33,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-13,-38,-11,-22,-49,-33,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-14,-39,-14,-26,-51,-36,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-15,-40,-13,-31,-53,-35,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-16,-38,-12,-31,-50,-23,13
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-17,-41,-14,-24,-49,-16,11
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-18,-39,-16,-28,-51,-37,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-19,-40,-17,-29,-51,-39,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-20,-43,-20,-30,-53,-38,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-21,-41,-17,-30,-53,-38,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-22,-42,-16,-31,-53,-35,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-23,-39,-13,-29,-50,-21,14
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-24,-41,-15,-20,-49,-13,12
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-25,-37,-12,-21,-49,-34,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-26,-39,-14,-24,-49,-37,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-27,-40,-16,-26,-51,-36,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-28,-39,-13,-26,-50,-36,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-29,-36,-7,-28,-50,-32,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-30,-33,-1,-24,-46,-18,13
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-01-31,-35,-1,-17,-44,-9,10
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-01,-34,-2,-22,-47,-32,17
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-02,-35,-5,-24,-47,-36,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-03,-38,-10,-24,-51,-35,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-04,-39,-12,-24,-52,-36,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-05,-39,-11,-27,-53,-33,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-06,-37,-9,-24,-49,-19,14
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-07,-40,-13,-18,-50,-12,12
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-08,-37,-12,-25,-51,-34,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-09,-39,-13,-26,-49,-37,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-10,-37,-9,-24,-50,-35,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-11,-33,-5,-20,-46,-35,17
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-12,-38,-9,-22,-57,-52,23
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-13,-36,-8,-25,-50,-21,14
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-14,-24,4,-4,-40,-7,9
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-15,-32,-4,-22,-47,-31,17
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-16,-33,-4,-24,-47,-35,18
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-17,-35,-6,-24,-49,-33,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-18,-35,-6,-24,-49,-33,19
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-19,-37,-6,-29,-51,-30,20
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2021-02-20,-34,-3,-24,-47,-16,14
