country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-01,-93,-95,-39,-78,-89,35
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-02,-74,-37,-14,-41,-38,15
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-03,-73,-41,-19,-34,-27,8
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-04,-63,-22,-38,-48,-54,23
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-05,-63,-21,-36,-47,-54,23
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-06,-64,-23,-42,-47,-53,23
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-07,-64,-25,-36,-47,-52,23
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-08,-65,-22,-35,-47,-52,25
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-09,-66,-21,-11,-37,-30,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-10,-67,-27,9,-35,-24,7
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-11,-32,-9,-19,-29,-28,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-12,-38,-10,-31,-30,-30,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-13,-43,-11,-34,-30,-29,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-14,-48,-21,-25,-30,-30,14
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-15,-47,-11,-17,-30,-32,15
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-16,-42,-5,-18,-31,-22,11
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-17,-65,-24,2,-38,-25,8
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-18,-38,-12,-28,-31,-30,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-19,-40,-12,-32,-30,-31,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-20,-43,-12,-27,-28,-29,12
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-21,-43,-13,-30,-30,-28,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-22,-44,-6,-28,-30,-30,15
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-23,-38,0,-34,-31,-19,10
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-24,-65,-25,-11,-37,-27,8
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-25,-37,-12,-26,-31,-30,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-26,-36,-7,-18,-26,-30,12
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-27,-46,-15,-38,-32,-30,14
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-28,-43,-10,-35,-32,-29,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-29,-44,-4,-31,-32,-30,15
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-30,-41,-1,-45,-35,-17,10
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-01-31,-67,-25,-19,-43,-24,7
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-01,-38,-11,-18,-29,-28,12
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-02,-39,-7,-19,-27,-30,11
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-03,-46,-14,-35,-32,-29,13
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-04,-41,-9,-11,-29,-28,11
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-05,-43,-4,-21,-31,-29,14
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-06,-42,-4,-30,-34,-18,10
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-07,-66,-28,-14,-45,-25,7
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-08,-42,-16,-29,-39,-43,17
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-09,-40,-11,-29,-35,-42,16
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-10,-43,-9,-32,-38,-42,16
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-11,-41,-7,-25,-38,-42,16
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-12,-42,0,-19,-40,-44,18
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-13,-38,4,-8,-34,-21,9
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-14,-59,-15,27,-39,-21,6
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-15,-36,-10,-17,-40,-48,16
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-16,-34,-4,7,-33,-46,14
LU,Luxembourg,,,,,,ChIJRyEhyrlFlUcR75LTAvZg22Q,2021-02-17,-41,-8,-24,-36,-46,16
