country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-01,-36,-27,-22,-23,-68,29
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-02,-24,-12,-15,-6,-31,17
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-03,-15,-4,2,11,-10,10
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-04,-17,-3,-16,-1,-32,19
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-05,-16,-3,-15,3,-29,18
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-06,-16,0,-14,2,-25,19
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-07,-13,2,-13,4,-24,18
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-08,-13,2,-11,5,-19,18
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-09,-13,0,-13,6,-4,11
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-10,-12,-2,-5,7,-2,11
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-11,-8,3,-12,6,-17,16
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-12,-10,0,-14,6,-18,16
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-13,-13,-2,-16,0,-18,15
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-14,-13,-1,-18,-1,-20,15
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-15,-15,-3,-17,-2,-19,15
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-16,-18,-6,-21,-1,-10,12
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-17,-15,-8,-12,0,-7,12
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-18,-12,-2,-17,2,-19,15
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-19,-12,-4,-17,3,-20,14
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-20,-13,-3,-17,-1,-17,16
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-21,-11,-2,-17,1,-17,16
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-22,-12,-2,-14,2,-13,15
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-23,-13,-2,-16,4,-3,12
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-24,-13,-6,-9,2,-5,13
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-25,-8,0,-14,5,-15,14
NG,Nigeria,,,,,,ChIJDY2kfa8LThARyAvFaEH-qJk,2021-01-26,-9,-2,-14,5,-16,14
