country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-01,-60,-51,-21,-20,-80,16
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-02,-52,-42,-26,-9,-57,9
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-03,-46,-34,-22,4,-31,5
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-04,-33,-22,-29,2,-61,15
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-05,-29,-14,-23,20,-32,7
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-06,-25,-6,-22,26,-31,6
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-07,-29,-13,-27,13,-59,14
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-08,-26,-8,-22,23,-28,6
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-09,-29,-9,-24,27,-19,3
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-10,-32,-12,-15,32,-10,0
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-11,-21,-3,-21,32,-26,4
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-12,-25,-8,-23,32,-26,3
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-13,-30,-12,-28,26,-28,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-14,-32,-17,-30,21,-31,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-15,-31,-15,-29,21,-30,1
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-16,-34,-17,-24,23,-26,0
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-17,-40,-23,-22,16,-24,0
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-18,-30,-14,-27,22,-30,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-19,-30,-15,-25,25,-31,1
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-20,-32,-15,-28,24,-30,1
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-21,-30,-14,-26,26,-30,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-22,-32,-16,-30,21,-28,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-23,-40,-22,-31,17,-26,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-24,-46,-29,-32,9,-26,3
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-25,-31,-14,-29,21,-29,3
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-26,-30,-14,-27,26,-29,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-27,-31,-15,-28,24,-29,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-28,-29,-13,-26,25,-28,2
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-29,-26,-7,-23,27,-26,1
KZ,Kazakhstan,,,,,,ChIJR6n87AcQqTgRGw6z5C-Ee18,2021-01-30,-33,-12,-19,25,-25,-1
