country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-01,-42,0,12,-46,-75,31
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-02,-34,1,-17,-34,-32,15
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-03,-35,3,-18,-32,-23,11
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-04,-18,7,3,-14,-10,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-05,-20,1,-12,-16,-11,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-06,-25,2,-5,-16,-12,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-07,-36,-15,-39,-21,-16,13
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-08,-33,-6,-41,-25,-15,14
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-09,-32,4,-42,-33,-17,14
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-10,-32,-8,-25,-35,-23,12
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-11,-19,9,-5,-17,-10,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-12,-20,3,-5,-14,-11,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-13,-21,5,11,-15,-12,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-14,-19,5,8,-18,-11,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-15,-23,4,-6,-19,-12,9
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-16,-25,7,-17,-26,-14,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-17,-28,11,-16,-29,-20,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-18,-20,0,-11,-17,-12,10
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-19,-16,2,-3,-16,-10,7
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-20,-15,8,18,-14,-10,7
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-21,-21,-4,-11,-19,-9,8
KR,South Korea,,,,,,ChIJm7oRy-tVZDURS9uIugCbJJE,2021-01-22,-20,3,-12,-18,-10,9
