country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-01,-24,-16,-26,-26,-23,2
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-02,-23,-12,-29,-24,-23,3
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-03,-23,-11,-29,-24,-20,4
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-04,-24,-12,-32,-29,-21,4
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-05,-25,-14,-31,-22,-22,4
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-06,-24,-14,-32,-22,-21,4
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-07,-24,-14,-32,-23,-21,4
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-08,-24,-17,-33,-27,-24,2
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-09,-22,-14,-33,-25,-24,1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-10,-22,-13,-31,-27,-20,1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-11,-23,-14,-35,-27,-22,2
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-12,-25,-17,-33,-22,-23,1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-13,-26,-17,-35,-28,-24,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-14,-27,-19,-36,-28,-25,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-15,-29,-25,-34,-34,-32,-1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-16,-28,-20,-35,-33,-31,-1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-17,-29,-21,-36,-34,-25,-1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-18,-29,-21,-38,-36,-26,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-19,-30,-24,-35,-29,-26,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-20,-29,-23,-37,-32,-25,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-21,-26,-18,-35,-29,-25,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-22,-26,-21,-31,-34,-31,0
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-23,-24,-15,-34,-32,-29,-1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-24,-25,-16,-33,-31,-23,-1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-25,-23,-15,-35,-33,-25,-1
OM,Oman,,,,,,ChIJv5vVqWaf1j0RF6ixZXZMBjo,2021-01-26,-25,-17,-32,-26,-25,-1
