country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-01,-32,-26,41,-61,-78,19
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-02,-14,-10,-9,-41,-32,7
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-03,-1,-6,-8,-38,-15,4
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-04,3,4,60,-48,-70,14
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-05,5,8,40,-45,-43,10
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-06,3,4,37,-44,-40,9
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-07,1,3,11,-45,-37,10
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-08,-1,0,-7,-47,-36,12
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-09,-4,-5,13,-33,-8,3
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-10,-3,-4,2,-37,-8,3
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-11,2,-1,8,-33,-5,4
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-12,0,-2,20,-38,-17,5
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-13,-1,-2,15,-37,-15,5
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-14,-3,-3,10,-37,-13,4
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-15,-4,-5,5,-39,-15,5
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-16,-4,-7,14,-32,-7,2
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-17,-5,-7,-14,-41,-10,3
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-18,-3,-7,-4,-32,1,2
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-19,-3,-5,-8,-37,-11,5
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-20,-3,-6,-14,-37,-11,5
NZ,New Zealand,,,,,,ChIJh5Z3Fw4gLG0RM0dqdeIY1rE,2021-01-21,-2,-5,-13,-36,-8,4
