country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-01,-69,-80,-1,-77,-79,30
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-02,-40,-22,-6,-45,-26,13
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-03,-47,-28,-10,-53,-31,11
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-04,-71,-57,-19,-71,-73,30
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-05,-65,-55,-8,-74,-73,28
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-06,-42,-32,-28,-50,-43,18
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-07,-33,-21,-14,-49,-44,18
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-08,-35,-21,-5,-48,-40,17
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-09,-32,-19,-2,-42,-24,9
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-10,-39,-32,-3,-54,-30,8
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-11,-34,-31,1,-47,-38,14
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-12,-33,-29,4,-45,-38,12
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-13,-33,-28,5,-49,-39,10
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-14,-34,-28,-4,-48,-40,11
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-15,-37,-30,-11,-50,-39,12
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-16,-33,-27,3,-48,-26,6
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-17,-39,-28,-5,-57,-33,6
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-18,-39,-33,-7,-52,-39,12
BB,Barbados,,,,,,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,2021-01-19,-35,-26,1,-48,-37,10
