country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-01,-23,19,27,-36,-68,17
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-02,-19,36,25,-24,-35,11
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-03,-9,53,32,-11,-16,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-04,-9,49,35,-6,-11,7
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-05,-8,50,27,-7,-8,6
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-06,-5,54,20,-4,-4,7
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-07,-7,55,18,1,-5,6
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-08,-7,55,28,0,-3,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-09,-7,55,21,-10,-6,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-10,-4,49,25,-8,-10,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-11,-1,55,33,4,-3,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-12,-2,50,20,-4,-3,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-13,-5,46,18,-5,-4,2
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-14,-11,37,8,-10,-11,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-15,-16,35,12,-11,-13,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-16,-17,35,3,-19,-16,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-17,-14,31,6,-19,-20,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-18,-13,33,13,-7,-14,6
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-19,-12,30,9,-16,-13,5
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-20,-10,35,20,-12,-10,5
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-21,-11,37,21,-13,-12,5
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-22,-11,39,27,-10,-10,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-23,-13,44,28,-9,-12,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-24,-9,38,19,-6,-18,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-25,-9,44,33,-5,-11,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-26,-9,40,21,-15,-10,4
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-27,-10,43,27,-12,-8,5
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-28,-11,44,21,-12,-10,3
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-29,-12,47,16,-7,-11,1
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-30,-13,54,14,-6,-15,-1
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-01-31,-13,53,8,-7,-22,-1
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-01,-12,51,5,-6,-13,0
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-02,-11,52,8,-9,-10,0
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-03,-12,51,10,-13,-12,2
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-04,-13,52,4,-12,-15,1
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-05,-16,56,12,-11,-14,0
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-06,-16,53,13,-14,-19,1
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-07,-19,49,11,-16,-26,2
BJ,Benin,,,,,,ChIJlVZ6BCtUIxAR9S5iy_h3suw,2021-02-08,-14,57,15,-6,-17,0
