country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-01,-56,-67,15,-55,-77,10
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-02,-21,-12,14,-29,-36,2
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-03,-12,1,12,-20,-14,-1
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-04,-7,11,7,-19,-20,1
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-05,-2,24,11,-13,-23,0
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-06,-18,8,12,-22,-39,3
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-07,-28,-13,12,-25,-40,3
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-08,-18,-2,-11,-28,-24,2
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-09,-25,-16,-11,-29,-22,-1
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-10,-21,-9,-19,-23,-15,-1
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-11,-17,-3,-22,-23,-15,0
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-12,-13,1,-21,-23,-17,-1
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-13,-15,4,-20,-23,-19,-2
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-14,-27,-12,-23,-29,-30,0
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-15,-22,-9,-25,-32,-20,-1
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-16,-24,-12,-24,-33,-18,-2
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-17,-28,-17,-25,-31,-21,-2
BA,Bosnia and Herzegovina,,,,,,ChIJ16k3xxWiSxMRDOm3QwPi920,2021-01-18,-21,-8,-26,-26,-17,-1
