country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-01,-21,-11,-15,-16,-20,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-02,-18,-7,-9,-6,-29,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-03,-19,-10,-11,-7,-42,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-04,-22,-11,-18,2,-20,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-05,-20,-11,-23,0,-20,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-06,-20,-11,-16,0,-19,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-07,-21,-11,-20,-7,-20,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-08,-22,-11,-19,-9,-18,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-09,-20,-12,-22,-5,-18,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-10,-20,-13,-28,-3,-18,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-11,-21,-11,-23,2,-21,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-12,-21,-14,-32,-4,-21,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-13,-23,-15,-24,-7,-21,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-14,-25,-19,-29,-16,-24,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-15,-28,-21,-26,-20,-27,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-16,-26,-21,-28,-16,-27,4
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-17,-27,-22,-33,-17,-25,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-18,-27,-21,-26,-9,-27,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-19,-25,-22,-33,-13,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-20,-26,-22,-27,-14,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-21,-26,-21,-34,-17,-26,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-22,-29,-22,-36,-23,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-23,-25,-19,-30,-13,-25,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-24,-25,-20,-33,-13,-24,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-25,-24,-17,-26,-6,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-26,-21,-17,-32,-9,-26,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-27,-23,-18,-24,-12,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-28,-23,-17,-28,-16,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-29,-24,-16,-26,-19,-25,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-30,-21,-12,-21,-14,-24,4
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-01-31,-21,-14,-26,-13,-24,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-01,-22,-12,-18,-9,-26,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-02,-21,-13,-25,-12,-26,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-03,-23,-15,-19,-14,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-04,-23,-14,-26,-19,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-05,-25,-14,-25,-23,-25,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-06,-24,-15,-29,-20,-25,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-07,-30,-20,-28,-22,-25,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-08,-29,-16,-24,-12,-28,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-09,-26,-16,-30,-17,-28,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-10,-27,-16,-20,-19,-27,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-11,-29,-17,-25,-23,-27,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-12,-30,-18,-24,-29,-28,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-13,-25,-15,-20,-22,-27,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-14,-25,-16,-23,-23,-25,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-15,-27,-16,-21,-15,-28,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-16,-26,-17,-28,-20,-28,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-17,-28,-18,-25,-21,-27,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-18,-29,-19,-31,-25,-27,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-19,-30,-18,-26,-29,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-20,-26,-15,-20,-21,-25,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-21,-25,-15,-25,-21,-25,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-22,-24,-13,-19,-15,-27,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-23,-23,-15,-28,-19,-27,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-24,-25,-10,-19,-16,-27,6
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-25,-33,-14,-26,-37,-61,20
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-26,-34,-15,-32,-29,-30,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-27,-27,-11,-24,-23,-38,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-02-28,-26,-14,-24,-25,-43,11
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-01,-29,-13,-23,-12,-27,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-02,-26,-13,-28,-16,-27,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-03,-28,-14,-19,-16,-27,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-04,-30,-13,-24,-21,-27,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-05,-30,-11,-25,-23,-26,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-06,-23,-6,-17,-15,-26,5
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-07,-43,-32,-44,-28,-30,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-08,-44,-26,-41,-23,-33,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-09,-42,-26,-44,-26,-33,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-10,-42,-25,-39,-27,-32,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-11,-43,-23,-41,-41,-59,24
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-12,-48,-28,-50,-40,-33,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-13,-40,-24,-42,-30,-31,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-14,-40,-26,-39,-28,-30,14
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-15,-42,-25,-39,-22,-33,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-16,-42,-26,-46,-27,-33,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-17,-42,-26,-39,-29,-32,15
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-18,-45,-27,-44,-32,-32,16
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-19,-43,-21,-44,-35,-30,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-20,-38,-20,-37,-28,-30,11
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-21,-39,-24,-38,-28,-30,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-22,-41,-23,-39,-22,-32,14
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-23,-37,-20,-40,-23,-31,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-24,-39,-22,-38,-27,-31,14
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-25,-40,-20,-40,-30,-30,14
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-26,-38,-16,-38,-31,-28,11
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-27,-35,-17,-34,-27,-29,8
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-28,-36,-20,-37,-28,-29,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-29,-37,-18,-34,-21,-31,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-30,-35,-19,-39,-23,-31,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-03-31,-36,-19,-33,-24,-30,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-01,-39,-20,-38,-28,-30,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-02,-37,-15,-36,-29,-28,10
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-03,-32,-13,-32,-24,-28,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-04,-34,-17,-33,-25,-29,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-05,-36,-17,-33,-20,-30,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-06,-35,-18,-38,-23,-30,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-07,-36,-18,-31,-24,-30,13
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-08,-36,-17,-34,-26,-29,12
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-09,-33,-11,-32,-25,-25,9
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-10,-29,-10,-29,-20,-27,7
KW,Kuwait,,,,,,ChIJoVHqvj82xT8R0u3Yks1rcnQ,2021-04-11,-30,-11,-28,-20,-27,9
