country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-01,-8,16,9,-3,-2,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-02,-6,19,1,1,1,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-03,-2,23,4,3,-4,3
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-04,-4,20,-6,6,-4,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-05,-6,17,-1,5,-5,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-06,-6,16,-6,3,-4,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-07,-4,20,1,4,-4,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-08,-7,18,3,-4,-1,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-09,-7,16,-3,0,2,0
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-10,-2,18,0,0,-4,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-11,-5,16,-12,3,-4,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-12,-7,13,-8,2,-6,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-13,-8,10,-14,-4,-6,0
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-14,-7,11,-10,-4,-9,0
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-15,-10,8,-2,-13,-9,-1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-16,-11,8,-10,-8,-6,0
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-17,-7,11,-6,-6,-9,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-18,-9,9,-14,-3,-8,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-19,-10,7,-11,-4,-9,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-20,-11,6,-15,-7,-7,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-21,-12,7,-24,-7,-7,3
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-22,-15,4,-29,-21,-6,4
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-23,-12,7,-15,-11,-2,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-24,-8,10,-9,-9,-6,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-25,-10,8,-16,-5,-6,2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-26,-11,6,-12,-5,-7,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-27,-10,7,-16,-7,-6,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-28,-5,14,-11,-3,-6,1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-29,-7,13,-3,-14,-4,0
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-30,-5,16,-6,-5,-1,-2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-01-31,-1,21,-3,-4,-5,-1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-02-01,-2,19,-11,-1,-7,-1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-02-02,-2,18,-8,0,-7,-2
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-02-03,-6,14,-12,-6,-6,-1
QA,Qatar,,,,,,ChIJf-jc_zTFRT4RMkArgc-I-hw,2021-02-04,-7,15,-13,-8,-7,1
