country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-01,-37,-39,-5,-47,-70,16
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-02,-22,-4,-9,-18,-29,9
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-03,-19,-2,-10,-15,-14,7
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-04,-10,11,-11,-4,-13,7
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-05,-8,12,-10,-4,-13,7
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-06,-10,11,-8,-3,-12,7
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-07,-8,11,-11,-3,-11,7
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-08,-5,14,-11,-2,-8,5
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-09,-6,12,-12,-7,-3,4
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-10,-8,7,-9,-13,-8,5
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-11,-4,13,-8,0,-7,4
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-12,-7,8,-14,-6,-10,4
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-13,-11,5,-17,-8,-13,2
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-14,-12,3,-20,-12,-17,3
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-15,-7,9,-19,-10,-15,1
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-16,-7,9,-20,-11,-13,1
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-17,-11,5,-17,-14,-17,2
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-18,-8,7,-19,-6,-15,2
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-19,-9,5,-18,-8,-16,3
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-20,-10,6,-16,-3,-13,3
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-21,-10,5,-20,-7,-14,3
NI,Nicaragua,,,,,,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,2021-01-22,-7,7,-15,-8,-11,2
