country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-01,-18,-4,13,-31,-64,10
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-02,-19,2,-6,-29,-30,8
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-03,-14,4,-13,-16,-15,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-04,-11,5,-22,-19,-2,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-05,-12,5,-22,-23,-2,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-06,-14,-1,-22,-24,-1,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-07,-12,0,-21,-28,-1,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-08,-10,-2,-22,-29,5,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-09,-14,-2,-27,-31,-7,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-10,-12,1,-23,-29,-11,7
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-11,-12,-1,-26,-28,-2,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-12,-10,4,-23,-28,-3,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-13,-14,-4,-25,-27,-6,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-14,-15,-8,-28,-36,-9,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-15,-17,-12,-30,-39,-6,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-16,-20,-14,-36,-42,-17,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-17,-20,-12,-32,-38,-20,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-18,-17,-10,-34,-36,-11,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-19,-16,-8,-32,-35,-13,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-20,-17,-12,-31,-34,-13,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-21,-16,-11,-30,-34,-14,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-22,-15,-11,-28,-35,-10,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-23,-18,-8,-31,-38,-16,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-24,-15,-8,-28,-32,-17,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-25,-14,-8,-31,-33,-16,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-26,-14,-6,-30,-32,-17,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-27,-17,-11,-29,-33,-17,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-28,-14,-7,-27,-34,-18,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-29,-14,-8,-29,-35,-11,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-30,-17,-3,-33,-36,-14,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-01-31,-15,0,-32,-29,-17,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-01,-13,-1,-37,-32,-10,2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-02,-13,1,-35,-33,-10,2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-03,-16,-7,-36,-34,-9,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-04,-15,-6,-34,-35,-10,3
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-05,-12,-6,-32,-36,-4,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-06,-15,-4,-34,-36,-15,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-07,-14,-4,-29,-34,-18,5
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-08,-16,-7,-39,-35,-12,4
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-09,-20,-7,-38,-35,-17,6
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-10,-12,2,-33,-26,-12,3
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-11,-8,5,-31,-27,-15,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-12,-8,-4,-30,-30,-16,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-13,-11,2,-34,-32,-20,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-14,3,5,-27,-24,-23,-1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-15,-10,0,-42,-29,-18,-1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-16,-14,0,-43,-32,-17,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-17,-17,-6,-43,-33,-16,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-18,-15,-3,-40,-34,-15,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-19,-13,-4,-40,-36,-9,2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-20,-16,-2,-41,-36,-15,3
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-21,-11,3,-38,-36,-18,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-22,-13,0,-43,-31,-15,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-23,-10,1,-41,-30,-15,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-24,-14,-6,-39,-31,-17,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-25,-10,-1,-37,-33,-15,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-26,-5,2,-28,-32,-12,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-27,-8,3,-31,-35,-19,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-02-28,-8,5,-34,-29,-22,2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-01,-9,3,-43,-31,-14,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-02,-9,4,-41,-30,-14,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-03,-14,-2,-42,-31,-14,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-04,-10,1,-39,-32,-13,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-05,-8,0,-35,-29,-11,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-06,-10,4,-32,-30,-21,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-07,-9,2,-27,-28,-26,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-08,-3,2,-28,-21,-63,3
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-09,-9,3,-41,-29,-14,-2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-10,-13,-1,-40,-32,-12,2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-11,-11,-1,-37,-35,-13,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-12,-9,-2,-37,-35,-5,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-13,-11,3,-37,-36,-17,3
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-14,-9,4,-35,-30,-22,3
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-15,-10,3,-42,-34,-11,1
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-16,-9,2,-41,-32,-12,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-17,-13,-2,-40,-32,-11,2
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-18,-10,0,-39,-33,-10,0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2021-03-19,-6,1,-35,-31,-4,0
