country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-01,-83,-87,-51,-81,-87,40
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-02,-58,-36,-42,-54,-36,20
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-03,-54,-36,-48,-48,-22,15
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-04,-15,12,-23,-34,-18,10
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-05,-17,6,-21,-34,-17,10
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-06,-18,4,-23,-34,-17,11
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-07,-18,3,-21,-36,-17,11
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-08,-23,10,-31,-37,-17,12
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-09,-57,-34,-58,-56,-23,19
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-10,-56,-37,-57,-56,-23,16
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-11,-16,12,-22,-38,-17,10
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-12,-17,6,-23,-38,-18,10
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-13,-15,6,-16,-36,-19,8
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-14,-20,2,-23,-42,-23,10
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-15,-60,-15,-44,-54,-32,18
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-16,-70,-33,-56,-64,-36,19
PT,Portugal,,,,,,ChIJ1SZCvy0kMgsRQfBOHAlLuCo,2021-01-17,-71,-41,-57,-64,-35,17
