country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-01,-83,-89,21,-72,-85,24
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-02,-35,-14,8,-47,-18,5
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-03,-45,-18,2,-43,-9,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-04,-21,-7,-4,-48,-34,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-05,-24,-8,-1,-49,-31,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-06,-27,-10,-4,-48,-31,13
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-07,-29,-10,-4,-51,-30,13
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-08,-30,-11,-3,-51,-28,14
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-09,-34,-11,15,-51,-19,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-10,-52,-22,0,-51,-18,8
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-11,-24,-11,-7,-47,-30,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-12,-21,-7,-3,-48,-31,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-13,-24,-9,-1,-49,-30,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-14,-25,-6,0,-49,-30,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-15,-27,-10,0,-49,-29,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-16,-31,-12,21,-49,-19,8
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-17,-52,-26,-18,-55,-20,7
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-18,-23,-12,-11,-47,-30,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-19,-21,-8,-5,-46,-29,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-20,-23,-8,-13,-46,-27,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-21,-25,-9,-22,-49,-27,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-22,-25,-8,-12,-47,-25,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-23,-33,-9,16,-49,-15,7
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-24,-52,-23,-6,-54,-17,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-25,-28,-11,9,-50,-30,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-26,-29,-11,15,-50,-30,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-27,-29,-10,13,-51,-28,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-28,-29,-8,13,-50,-28,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-29,-29,-7,4,-51,-28,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-30,-36,-11,29,-52,-16,7
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-01-31,-49,-19,6,-52,-16,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-01,-27,-10,0,-48,-28,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-02,-26,-9,3,-49,-28,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-03,-23,-8,6,-48,-26,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-04,-24,-6,2,-48,-26,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-05,-25,-6,1,-47,-24,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-06,-31,-8,29,-47,-13,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-07,-46,-15,1,-50,-15,5
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-08,-25,-10,2,-47,-27,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-09,-24,-7,4,-47,-26,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-10,-25,-7,2,-48,-25,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-11,-23,-1,3,-47,-25,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-12,-21,-1,3,-46,-24,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-13,-24,0,33,-46,-13,5
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-14,-36,-8,-5,-49,-8,4
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-15,-23,-9,-11,-46,-26,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-16,-21,-5,-3,-45,-25,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-17,-24,-6,-8,-44,-24,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-18,-19,1,-8,-44,-23,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-19,-18,1,-4,-41,-22,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-20,-25,-3,-14,-46,-12,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-21,-40,-8,-19,-50,-13,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-22,-12,-2,2,-45,-32,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-23,-11,0,14,-44,-31,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-24,-13,0,4,-46,-31,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-25,-15,1,14,-46,-32,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-26,-15,0,30,-42,-32,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-27,-24,-5,24,-42,-11,4
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-02-28,-27,6,22,-38,-8,2
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-01,-13,0,10,-43,-28,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-02,-14,1,35,-42,-29,8
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-03,-19,-1,15,-44,-28,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-04,-20,0,31,-44,-29,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-05,-23,-2,20,-44,-30,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-06,-31,-6,4,-47,-14,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-07,-37,-2,9,-43,-11,4
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-08,-17,0,16,-42,-25,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-09,-19,-1,32,-41,-25,8
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-10,-24,-3,-11,-47,-25,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-11,-29,-5,-18,-46,-27,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-12,-19,3,4,-43,-24,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-13,-27,-3,22,-45,-11,5
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-14,-35,-1,2,-45,-9,4
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-15,-16,0,28,-41,-25,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-16,-21,1,28,-43,-26,9
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-17,-24,0,27,-45,-26,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-18,-22,5,27,-45,-26,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-19,-25,2,11,-45,-26,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-20,-33,-2,24,-47,-12,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-21,-41,-2,3,-47,-11,6
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-22,-21,0,24,-44,-28,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-23,-20,2,34,-43,-28,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-24,-21,5,25,-43,-27,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-25,-23,8,25,-43,-29,10
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-26,-29,1,4,-43,-28,11
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-27,-38,-3,34,-45,-11,5
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-28,-49,-7,12,-49,-11,7
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-29,-15,6,64,-48,-52,12
NO,Norway,,,,,,ChIJv-VNj0VoEkYRK9BkuJ07sKE,2021-03-30,-11,19,95,-46,-54,11
