country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-01,-39,-33,-33,-44,-67,23
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-02,-21,-16,-25,-30,-33,17
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-03,-12,-13,-16,-19,-20,12
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-04,-7,-1,-16,-22,-13,11
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-05,-10,-3,-19,-22,-14,10
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-06,-11,-1,-24,-25,-12,11
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-07,-11,-6,-25,-26,-14,12
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-08,-8,-4,-25,-23,-12,11
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-09,-5,-3,-25,-24,-10,10
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-10,-2,-4,-20,-22,-13,8
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-11,-4,-4,-17,-22,-7,7
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-12,-8,-4,-21,-22,-10,5
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-13,-11,-8,-26,-26,-11,5
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-14,-15,-16,-32,-28,-19,4
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-15,-16,-18,-32,-28,-20,3
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-16,-18,-19,-34,-33,-22,4
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-17,-15,-19,-31,-30,-26,4
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-18,-17,-18,-30,-29,-21,5
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-19,-17,-16,-33,-28,-19,4
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-20,-17,-13,-31,-29,-18,5
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-21,-16,-16,-30,-28,-18,4
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-22,-29,-31,-39,-39,-24,10
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-23,-21,-19,-38,-33,-19,11
TJ,Tajikistan,,,,,,ChIJzbO8enN2sTgRtYgZT4QxwyU,2021-01-24,-16,-15,-33,-26,-23,9
