country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-01,-53,-53,35,-59,-75,17
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-02,-25,-6,42,-37,-32,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-03,-18,-2,27,-34,-15,3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-04,-18,5,14,-28,-30,8
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-05,-8,27,46,-22,-39,5
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-06,-38,-5,14,-48,-68,16
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-07,-53,-44,3,-56,-75,17
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-08,-23,-4,-1,-33,-35,9
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-09,-29,-8,-13,-35,-18,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-10,-35,-18,-32,-44,-18,5
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-11,-20,-2,-1,-29,-19,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-12,-20,0,6,-30,-30,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-13,-23,-1,4,-30,-29,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-14,-31,-10,-4,-34,-31,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-15,-29,-10,-17,-36,-22,5
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-16,-33,-10,-23,-39,-17,3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-17,-29,-11,-17,-41,-20,3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-18,-22,-4,-5,-32,-22,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-19,-34,-18,7,-50,-64,12
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-20,-25,-5,-2,-32,-31,3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-21,-26,-9,-9,-34,-29,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-22,-26,-10,-15,-34,-17,5
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-23,-27,-9,-16,-36,-13,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-24,-26,-10,-14,-41,-15,3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-25,-18,-5,6,-31,-15,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-26,-29,-12,-21,-40,-29,5
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-27,-26,-9,-14,-34,-29,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-28,-24,-7,-8,-31,-28,3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-29,-22,-7,-10,-29,-16,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-30,-19,0,13,-31,-11,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-01-31,-26,-6,-13,-41,-14,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-01,-19,-1,1,-29,-15,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-02,-18,0,10,-31,-27,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-03,-18,-2,17,-28,-27,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-04,-20,-2,19,-29,-27,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-05,-18,-2,7,-29,-16,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-06,-17,-1,37,-33,-11,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-07,-20,-5,13,-40,-15,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-08,-22,-6,-8,-33,-15,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-09,-20,-2,-3,-33,-27,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-10,-18,0,12,-29,-26,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-11,-28,-9,-21,-34,-28,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-12,-20,-4,-18,-30,-16,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-13,-30,-6,-28,-42,-16,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-14,-34,-14,-30,-49,-20,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-15,-24,-4,-19,-35,-18,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-16,-22,-1,-13,-35,-28,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-17,-22,0,-13,-32,-27,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-18,-21,1,-12,-30,-27,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-19,-18,-1,-12,-28,-15,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-20,-19,3,-4,-33,-10,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-21,-13,2,20,-33,-11,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-22,-15,1,12,-28,-13,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-23,-14,2,21,-29,-26,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-24,-16,2,19,-27,-26,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-25,-17,3,17,-24,-26,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-26,-15,3,13,-24,-15,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-27,-12,7,37,-27,-10,-6
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-02-28,-13,4,25,-30,-13,-5
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-01,-14,6,10,-25,-14,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-02,-15,7,12,-26,-26,-2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-03,-14,7,17,-25,-27,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-04,-15,8,17,-22,-26,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-05,-11,10,12,-22,-16,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-06,-17,10,-7,-29,-13,-4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-07,-9,12,19,-27,-10,-4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-08,-6,15,12,-22,-14,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-09,-20,2,-4,-31,-27,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-10,-30,-6,-26,-36,-29,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-11,-23,1,-10,-31,-28,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-12,-19,4,-7,-28,-16,0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-13,-19,10,11,-33,-13,-3
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-14,-19,7,29,-34,-11,-4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-15,-25,-2,-17,-35,-17,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-16,-25,0,-14,-37,-29,2
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-17,-25,0,-13,-34,-28,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-18,-25,1,-8,-31,-28,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-19,-22,2,-9,-32,-18,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-20,-32,-3,-33,-43,-16,1
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-21,-39,-11,-45,-52,-21,4
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2021-03-22,-31,-8,-27,-41,-20,3
