country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-01,-73,-62,-39,-68,-72,24
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-02,-49,-25,-30,-36,-32,17
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-03,-34,-11,-11,-11,-9,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-04,-50,-17,-33,-43,-42,23
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-05,-45,-8,-33,-42,-41,23
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-06,-42,-6,-30,-38,-38,23
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-07,-43,-8,-34,-39,-37,23
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-08,-44,-9,-35,-41,-32,22
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-09,-39,-2,-34,-33,-9,16
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-10,-41,-9,-33,-34,-5,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-11,-23,8,-15,-11,-18,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-12,-24,5,-17,-14,-21,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-13,-27,0,-20,-19,-23,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-14,-33,-8,-28,-29,-30,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-15,-33,-8,-30,-46,-28,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-16,-32,-6,-29,-40,-12,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-17,-33,-9,-24,-37,-12,8
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-18,-46,-20,-37,-57,-34,16
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-19,-43,-16,-38,-57,-35,16
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-20,-40,-13,-32,-55,-33,17
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-21,-40,-12,-34,-55,-33,17
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-22,-40,-12,-34,-55,-27,16
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-23,-37,-7,-37,-51,-11,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-24,-40,-12,-34,-48,-12,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-25,-26,0,-17,-37,-21,10
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-26,-26,0,-19,-39,-25,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-27,-25,0,-17,-39,-23,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-28,-26,-1,-18,-38,-23,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-29,-23,3,-16,-36,-18,8
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-30,-19,6,-15,-30,-3,6
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-01-31,-25,0,-16,-29,-6,6
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-01,-37,-8,-27,-52,-28,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-02,-33,-4,-26,-51,-30,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-03,-34,-7,-26,-50,-29,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-04,-35,-8,-29,-51,-29,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-05,-35,-8,-29,-50,-24,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-06,-31,-3,-29,-45,-6,10
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-07,-36,-10,-26,-45,-10,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-08,-21,2,-15,-34,-20,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-09,-20,4,-15,-35,-22,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-10,-19,5,-13,-33,-20,8
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-11,-19,6,-14,-33,-21,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-12,-17,9,-13,-32,-16,5
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-13,-12,17,-11,-25,-2,3
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-14,2,20,8,-22,6,1
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-15,-39,-12,-10,-53,-57,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-16,-42,-18,-19,-55,-61,14
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-17,-28,-1,-20,-42,-28,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-18,-24,5,-21,-43,-23,10
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-19,-21,8,-17,-41,-17,8
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-20,-17,11,-16,-34,0,5
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-21,-21,5,-12,-32,-3,5
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-22,-31,0,-24,-49,-24,10
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-23,-28,2,-24,-49,-26,10
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-24,-27,2,-23,-47,-24,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-25,-28,2,-25,-48,-24,11
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-26,-25,7,-22,-46,-18,10
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-27,-20,14,-22,-40,-1,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-02-28,-24,7,-20,-40,-4,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-01,-13,16,-8,-30,-15,5
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-02,-13,17,-9,-33,-18,6
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-03,-12,18,-6,-30,-17,6
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-04,-14,15,-9,-31,-18,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-05,-14,15,-9,-31,-13,6
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-06,-12,16,-11,-27,1,5
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-07,-15,13,-8,-23,-1,4
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-08,-35,-2,-29,-51,-26,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-09,-32,2,-27,-51,-28,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-10,-30,4,-24,-49,-26,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-11,-30,3,-26,-49,-26,13
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-12,-29,6,-25,-48,-20,12
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-13,-24,13,-26,-43,-4,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-14,-31,4,-26,-45,-8,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-15,-19,15,-14,-37,-17,8
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-16,-17,17,-14,-38,-21,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-17,-16,18,-11,-36,-19,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-18,-16,17,-12,-36,-19,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-19,-18,16,-13,-35,-15,9
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-20,-15,18,-15,-32,3,7
VE,Venezuela,,,,,,ChIJAdjLNstTKIwR003VfFjyoNw,2021-03-21,-20,11,-15,-33,-1,6
