country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-01,-68,-45,-6,-44,-75,17
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-02,-54,-29,0,-39,-55,10
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-03,-56,-23,9,-36,-35,6
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-04,-53,-24,-6,-40,-53,15
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-05,-49,-17,-5,-38,-50,13
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-06,-45,-1,6,-25,-47,9
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-07,-59,-26,-3,-42,-68,16
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-08,-50,-13,-8,-35,-44,12
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-09,-48,-11,-2,-30,-24,6
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-10,-47,-6,1,-27,-16,4
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-11,-50,-15,-26,-35,-41,12
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-12,-48,-9,-25,-33,-42,10
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-13,-48,-1,-18,-33,-42,8
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-14,-57,-23,-23,-42,-51,8
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-15,-55,-20,-30,-42,-43,9
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-16,-53,-19,-28,-37,-28,5
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-17,-51,-14,-18,-32,-24,3
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-18,-53,-20,-33,-38,-42,9
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-19,-53,-19,-30,-40,-59,12
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-20,-54,-18,-29,-37,-40,9
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-21,-51,-16,-28,-38,-41,10
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-22,-48,-9,-22,-33,-34,9
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-23,-47,-9,-15,-29,-23,5
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-24,-47,-7,-9,-27,-18,3
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-25,-47,-12,-21,-33,-37,9
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-26,-45,-11,-21,-32,-37,7
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-27,-48,-9,-18,-31,-36,8
GE,Georgia,,,,,,ChIJa2JP5tcMREARwkotEmR5kE8,2021-01-28,-46,-8,-20,-34,-37,9
