country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-01,-65,-72,13,-63,-81,20
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-02,-36,-21,22,-36,-43,6
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-03,-30,-9,13,-29,-16,3
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-04,-14,9,-14,-29,-35,8
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-05,-4,39,21,-22,-37,6
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-06,-30,21,1,-33,-49,9
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-07,-69,-72,-1,-61,-80,18
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-08,-37,-11,-30,-45,-49,12
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-09,-34,-10,-15,-30,-25,4
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-10,-39,-15,-19,-32,-16,3
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-11,-20,0,-14,-23,-23,6
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-12,-19,6,-10,-28,-26,5
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-13,-23,4,-10,-28,-29,4
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-14,-30,-9,-21,-33,-33,5
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-15,-31,-5,-26,-35,-32,6
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-16,-34,-12,-28,-31,-20,3
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-17,-40,-17,-19,-36,-20,4
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-18,-24,-3,-29,-25,-19,5
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-19,-21,5,-13,-25,-22,4
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-20,-28,-1,-14,-28,-30,4
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-21,-22,-2,-3,-20,-24,3
RS,Serbia,,,,,,ChIJlYCJ8t8dV0cRXYYjN-pQXgU,2021-01-22,-26,-2,-13,-23,-23,4
