country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-01,-52,-31,-12,-48,-58,30
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-02,-32,-14,-5,-29,-16,19
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-03,-29,-5,1,-24,2,16
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-04,-22,-4,-1,-19,-13,16
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-05,-22,-5,-4,-19,-11,16
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-06,-23,-5,-5,-19,-11,16
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-07,-24,-5,-1,-20,-12,16
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-08,-28,-6,-2,-22,-7,15
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-09,-25,-7,4,-24,0,14
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-10,-27,-1,7,-26,7,14
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-11,-21,-3,14,-20,-8,15
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-12,-21,-2,8,-21,-9,12
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-13,-45,-31,-34,-44,-35,-10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-14,-100,-100,-88,-99,-99,
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-15,-100,-100,-88,-99,-99,
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-16,-97,-97,-85,-98,-94,8
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-17,-89,-87,-77,-92,-79,-10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-18,-44,-32,-10,-57,-32,-12
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-19,-34,-22,-7,-46,-22,12
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-20,-36,-23,-9,-44,-24,15
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-21,-33,-21,-5,-43,-21,14
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-22,-35,-19,-12,-44,-15,14
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-23,-35,-21,-11,-47,-12,13
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-24,-38,-19,-12,-47,-11,12
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-25,-35,-23,-6,-48,-25,13
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-26,-39,-27,-14,-49,-44,18
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-27,-35,-25,-13,-46,-23,11
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-28,-34,-22,-12,-45,-24,12
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-29,-35,-21,-18,-45,-20,11
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-30,-33,-19,-19,-47,-18,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-01-31,-35,-15,-20,-45,-14,8
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-01,-30,-18,-13,-44,-22,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-02,-29,-17,-16,-43,-20,8
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-03,-35,-23,-23,-47,-23,11
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-04,-33,-19,-19,-47,-24,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-05,-34,-20,-16,-49,-21,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-06,-31,-17,-16,-47,-16,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-07,-35,-16,-16,-47,-14,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-08,-31,-17,-16,-46,-22,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-09,-28,-14,-16,-43,-20,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-10,-29,-16,-19,-43,-20,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-11,-28,-14,-17,-43,-21,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-12,-31,-15,-18,-43,-16,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-13,-29,-12,-21,-49,-17,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-14,-23,-2,-23,-43,-10,7
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-15,-28,-15,-21,-44,-19,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-16,-33,-17,-31,-45,-41,17
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-17,-28,-14,-25,-41,-16,8
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-18,-28,-14,-22,-41,-20,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-19,-29,-10,-25,-42,-13,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-20,-27,-9,-25,-46,-11,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-21,-30,-5,-26,-43,-9,9
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-22,-27,-11,-22,-42,-14,10
UG,Uganda,,,,,,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,2021-02-23,-24,-8,-23,-40,-13,9
