country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-01,-20,-8,36,-34,-60,11
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-02,-25,-12,4,-39,-35,10
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-03,-20,-10,-4,-35,-12,7
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-04,-17,-6,-12,-38,-14,10
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-05,-17,-5,-11,-38,-15,8
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-06,-12,-4,-7,-38,-14,8
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-07,-12,-5,2,-37,-44,14
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-08,-14,-7,-7,-39,-15,9
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-09,-14,-7,-9,-37,-15,7
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-10,-11,-6,-8,-36,-8,7
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-11,-11,-4,-10,-37,-12,7
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-12,-11,-3,-10,-37,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-13,-10,-5,-9,-39,-10,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-14,-11,-10,-11,-42,-13,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-15,-13,-13,-14,-42,-15,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-16,-15,-14,-14,-43,-18,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-17,-13,-15,-14,-42,-15,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-18,-15,-12,-17,-43,-15,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-19,-16,-13,-18,-41,-16,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-20,-13,-12,-15,-43,-14,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-21,-13,-12,-11,-43,-14,7
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-22,-13,-14,-11,-41,-14,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-23,-15,-15,-12,-42,-17,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-24,-12,-14,-10,-40,-13,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-25,-13,-11,-14,-43,-14,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-26,-14,-11,-13,-41,-14,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-27,-11,-11,-11,-42,-13,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-28,-10,-11,-4,-43,-13,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-29,-9,-10,-10,-42,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-30,-9,-7,-10,-40,-13,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-01-31,-6,-6,-11,-39,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-01,-10,-5,-16,-41,-12,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-02,-9,-4,-15,-40,-12,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-03,-7,-5,-13,-40,-11,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-04,-7,-4,-11,-41,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-05,-8,-6,-10,-42,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-06,-7,-7,-10,-40,-13,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-07,-6,-8,-6,-39,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-08,-9,-5,-12,-39,-13,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-09,-7,1,-8,-36,-13,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-10,-1,14,-1,-30,-13,2
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-11,-20,-12,-3,-44,-36,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-12,-15,-17,6,-46,-38,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-13,-15,-14,7,-43,-38,3
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-14,-2,-8,8,-33,-25,-1
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-15,-7,-4,-13,-40,-13,3
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-16,-7,-2,-16,-38,-12,3
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-17,-5,-3,-14,-40,-10,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-18,-5,-4,-12,-40,-10,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-19,-5,-2,-13,-39,-9,4
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-20,-11,-5,-18,-41,-12,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-21,-11,-7,-19,-44,-13,5
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-22,-14,-7,-23,-43,-11,6
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-23,-17,-8,-24,-42,-17,7
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-24,-18,-11,-23,-46,-16,9
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-25,-19,-10,-24,-47,-17,10
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-26,-20,-10,-23,-48,-17,10
KH,Cambodia,,,,,,ChIJQzfc1L-HBzERUxL0ieC_t-Q,2021-02-27,-23,-13,-27,-50,-17,10
