country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-01,-64,-50,-24,-59,-78,24
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-02,-69,-42,-53,-57,-57,23
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-03,-66,-33,-51,-46,-43,18
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-04,-40,-5,-20,-34,-63,19
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-05,-30,0,-25,-15,-31,12
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-06,-32,-2,-26,-22,-31,14
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-07,-32,-5,-27,-21,-29,14
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-08,-34,-4,-29,-17,-30,13
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-09,-61,-34,-57,-49,-45,20
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-10,-63,-33,-57,-46,-38,17
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-11,-28,-5,-29,-14,-26,10
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-12,-31,-10,-31,-19,-28,10
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-13,-36,-15,-35,-27,-32,9
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-14,-37,-19,-40,-30,-36,9
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-15,-39,-17,-40,-29,-37,8
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-16,-58,-36,-57,-47,-43,14
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-17,-59,-33,-56,-47,-41,11
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-18,-35,-15,-39,-26,-35,8
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-19,-37,-18,-40,-28,-37,9
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-20,-37,-17,-39,-28,-36,9
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-21,-47,-26,-33,-49,-67,18
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-22,-38,-16,-37,-28,-37,10
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-23,-57,-37,-54,-44,-40,14
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-24,-59,-33,-51,-47,-38,11
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-25,-46,-26,-28,-45,-67,15
DO,Dominican Republic,,,,,,ChIJ9bbx3jiIr44R4PcNBiQPAqY,2021-01-26,-37,-18,-40,-26,-33,8
