country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-01,7,43,18,6,2,1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-02,7,44,17,8,3,3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-03,9,48,12,2,-21,7
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-04,5,41,10,11,0,2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-05,7,43,10,13,-2,2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-06,14,59,8,4,-19,5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-07,5,43,7,8,-4,4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-08,8,44,12,2,2,1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-09,9,44,8,4,8,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-10,14,46,6,8,-2,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-11,10,40,7,10,-1,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-12,9,38,4,7,-3,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-13,10,43,2,6,-4,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-14,2,33,-4,5,-8,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-15,7,36,2,2,-4,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-16,8,40,2,4,2,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-17,10,41,-1,5,-6,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-18,8,37,1,10,-4,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-19,7,36,-2,7,-6,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-20,5,36,-6,3,-5,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-21,-1,30,-6,2,-7,1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-22,2,32,-3,-5,-3,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-23,5,37,-2,2,5,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-24,9,40,-1,5,-3,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-25,8,39,3,8,-3,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-26,10,40,3,8,-3,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-27,12,47,2,11,-3,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-28,8,42,0,9,-5,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-29,7,44,0,3,-2,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-30,16,55,8,13,6,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-01-31,17,55,3,14,-2,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-01,17,56,9,16,-1,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-02,19,58,10,15,-3,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-03,10,42,2,0,-6,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-04,4,33,3,1,-9,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-05,-4,25,-7,-15,-10,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-06,-3,22,-6,-12,-3,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-07,9,36,4,-3,-6,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-08,11,41,8,6,-5,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-09,17,51,11,10,-4,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-10,16,52,10,7,-5,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-11,10,43,7,7,-9,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-12,11,44,12,2,-9,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-13,13,47,6,4,-2,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-14,22,52,7,6,-7,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-15,14,47,5,11,-8,-6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-16,17,50,5,12,-9,-6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-17,20,58,5,16,-8,-6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-18,-2,42,-8,10,-13,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-19,-38,2,-33,-35,-33,6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-20,-34,6,-29,-34,-34,7
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-21,-29,13,-27,-32,-42,8
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-22,4,47,-1,8,-10,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-23,5,49,-1,8,-12,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-24,3,51,-2,7,-12,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-25,2,50,0,12,-15,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-26,-29,17,-22,-29,-28,4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-27,-22,21,-16,-24,-28,5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-02-28,-18,27,-18,-23,-39,6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-01,15,61,13,16,-10,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-02,17,66,10,15,-11,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-03,19,75,11,17,-11,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-04,10,64,5,19,-14,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-05,-24,23,-19,-20,-25,4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-06,-17,27,-10,-20,-26,4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-07,-11,34,-10,-18,-37,6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-08,14,60,13,17,-14,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-09,14,61,17,18,-18,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-10,10,61,14,12,-26,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-11,9,57,8,18,-16,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-12,-20,26,-19,-20,-20,3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-13,-8,39,-2,-10,-21,3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-14,-3,47,-4,-12,-36,5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-15,20,66,18,25,-9,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-16,22,68,16,19,-11,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-17,21,74,15,21,-10,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-18,12,62,11,22,-12,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-19,-10,42,-6,-10,-18,2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-20,4,56,8,4,-16,1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-21,-9,41,-5,-16,-49,4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-22,12,59,10,15,-16,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-23,15,61,3,12,-15,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-24,19,72,9,16,-11,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-25,16,65,12,25,-11,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-26,-8,45,-5,-5,-18,1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-27,3,53,3,5,-10,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-28,26,72,20,21,-7,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-29,24,70,18,31,-8,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-30,28,75,17,26,-7,-4
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-03-31,33,88,23,30,-6,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-01,25,75,24,34,-10,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-02,2,58,8,4,-11,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-03,13,66,14,15,-10,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-04,38,87,27,33,-7,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-05,37,86,29,37,-7,-6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-06,36,84,28,37,-8,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-07,34,86,26,34,-9,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-08,22,72,21,36,-13,-3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-09,0,58,4,3,-12,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-10,12,68,10,16,-10,-1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-11,40,93,29,35,-6,-5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-12,40,96,27,41,-5,-6
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-13,18,78,8,27,-9,-2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-14,8,70,-1,13,-14,2
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-15,1,57,0,15,-11,3
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-16,-9,48,-10,-10,-11,5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-17,-2,50,-2,-3,-11,5
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-18,16,70,9,14,-5,1
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-19,14,65,7,12,-6,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-20,16,69,6,14,-8,0
IQ,Iraq,,,,,,ChIJEUr1VD2CVxURAhYGorthpW0,2021-04-21,16,75,7,12,-8,0
