country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-01,-9,2,-7,-3,-61,22
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-02,0,23,-9,6,-17,13
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-03,3,30,-4,15,-3,9
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-04,4,31,-10,15,-20,16
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-05,4,31,-11,16,-18,15
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-06,7,37,-13,17,-16,15
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-07,-8,17,-19,-3,-49,27
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-08,5,30,-9,14,-12,14
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-09,4,31,-5,13,-2,9
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-10,4,27,-6,13,-2,9
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-11,10,37,-2,20,-12,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-12,7,32,-5,16,-13,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-13,5,29,-11,12,-15,10
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-14,2,26,-14,5,-19,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-15,-1,17,-13,5,-18,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-16,-3,19,-13,1,-13,8
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-17,-3,22,-12,3,-11,9
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-18,2,25,-13,7,-18,10
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-19,-1,20,-14,3,-19,10
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-20,-1,20,-17,1,-18,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-21,-2,21,-15,-1,-18,12
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-22,-3,16,-12,2,-15,12
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-23,-4,21,-14,-1,-11,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-24,-4,20,-14,2,-10,12
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-25,1,23,-14,4,-15,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-26,1,23,-14,3,-17,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-27,-1,21,-13,3,-16,12
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-28,-1,24,-16,2,-17,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-29,-1,19,-14,7,-15,10
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-30,0,27,-11,5,-14,6
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-01-31,-3,27,-14,4,-13,7
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-01,0,28,-17,3,-16,8
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-02,0,27,-15,5,-17,9
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-03,-3,24,-17,1,-16,10
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-04,-5,23,-18,-1,-18,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-05,-7,17,-16,0,-15,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-06,-7,22,-15,-1,-12,10
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-07,-11,18,-15,-2,-11,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-08,-5,23,-17,1,-17,11
GH,Ghana,,,,,,ChIJx9baqM1a1w8RNtKT0DDy11Q,2021-02-09,-1,27,-15,3,-16,10
