country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-01,-55,-77,52,-56,-72,22
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-02,-32,-17,38,-50,-28,10
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-03,-19,-18,51,-45,-10,4
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-04,-11,-7,58,-40,-27,9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-05,-10,-4,47,-50,-25,8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-06,-16,-8,26,-42,-12,6
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-07,-17,-7,27,-42,-11,6
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-08,-12,-2,28,-43,-9,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-09,-18,-3,21,-52,-12,4
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-10,-21,-13,25,-51,-12,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-11,-16,-4,36,-44,-11,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-12,-15,-7,27,-53,-10,2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-13,-21,-14,16,-47,-13,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-14,-24,-13,14,-49,-14,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-15,-20,-11,21,-46,-11,1
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-16,-26,-10,11,-57,-17,5
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-17,-26,-19,26,-57,-17,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-18,-22,-12,35,-47,-15,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-19,-23,-14,23,-55,-13,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-20,-22,-13,18,-49,-14,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-21,-21,-10,16,-49,-13,2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-22,-14,-2,20,-46,-11,0
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-23,-17,2,16,-58,-15,2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-24,-19,4,32,-55,-15,0
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-25,-34,-76,83,-60,-70,19
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-26,-20,-3,6,-56,-15,2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-27,-19,-4,10,-50,-13,2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-28,-17,-3,14,-50,-11,0
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-29,-10,2,21,-42,-8,-4
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-30,-14,7,22,-57,-13,-2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-01-31,-20,-7,24,-55,-14,-2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-01,-16,-2,24,-50,-12,-3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-02,-19,-5,19,-54,-11,-3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-03,-20,-9,13,-49,-12,-1
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-04,-22,-9,20,-49,-11,0
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-05,-13,-3,32,-46,-9,-3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-06,-17,-1,32,-59,-13,0
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-07,-19,-13,40,-58,-13,-1
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-08,-15,-9,42,-49,-24,3
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-09,-17,-9,25,-52,-11,-2
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-10,-18,-11,17,-49,-11,-1
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-11,-18,-7,25,-48,-11,-4
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-12,-12,-3,37,-42,-8,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-13,-13,3,35,-55,-12,-7
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-14,0,-7,53,-54,-10,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-15,-35,-41,72,-63,-67,10
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-16,-18,-5,32,-50,-12,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-17,-20,-8,22,-49,-11,-7
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-18,-19,-8,20,-51,-11,-7
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-19,-14,-1,35,-47,-6,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-20,-16,1,34,-54,-10,-6
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-21,-18,-11,42,-53,-12,-6
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-22,-16,-7,46,-49,-9,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-23,-12,-2,29,-56,-10,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-24,-13,-2,16,-53,-10,-7
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-25,-11,-4,29,-53,-9,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-26,0,7,37,-46,-5,-11
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-27,-3,13,42,-56,-8,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-02-28,-8,-1,49,-51,-6,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-01,-4,4,43,-51,-9,-10
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-02,-8,-1,32,-53,-8,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-03,-9,-2,20,-51,-8,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-04,-12,-1,26,-48,-7,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-05,-6,3,38,-48,-5,-11
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-06,-7,5,39,-53,-9,-8
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-07,-11,-6,47,-50,-10,-7
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-08,-9,-3,45,-55,-9,-9
AW,Aruba,,,,,,ChIJ23da4s84hY4RL4yBiT6KavE,2021-03-09,-12,-5,38,-52,-8,-9
