country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-15,-4,0,-1,-11,0,1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-16,-8,-3,-6,-11,-2,3
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-17,-3,-2,-1,-7,8,1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-18,1,4,0,-6,7,2
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-19,-2,1,-4,-8,5,1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-20,8,9,-2,-6,2,-3
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-21,-19,-11,-19,-33,-58,14
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-22,-7,-3,1,-18,-4,2
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-23,-5,-2,-3,-9,0,1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-24,-5,-4,-8,-17,2,3
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-25,-1,1,-5,-16,6,0
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-26,0,3,-2,-11,6,-1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-27,5,7,-3,-11,6,1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-28,6,7,-5,-13,7,-1
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-02-29,1,6,-1,-12,5,0
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-03-01,5,9,-4,-6,7,2
ZW,Zimbabwe,,,,,,ChIJYXGxBuekMRkR7r_LxV84wKE,2020-03-02,1,3,-5,-16,11,2
