country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-01,-74,-52,40,-61,-88,27
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-02,-45,-14,14,-41,-35,9
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-03,-33,-5,71,-31,-21,5
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-04,-23,-1,25,-33,-37,13
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-05,-20,3,22,-31,-36,12
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-06,-20,2,16,-32,-36,12
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-07,-25,-3,9,-36,-36,13
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-08,-26,-1,-3,-38,-35,13
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-09,-30,-2,3,-35,-18,6
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-10,-28,-3,25,-36,-16,4
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-11,-22,-2,-1,-33,-22,10
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-12,-25,-5,-9,-34,-22,10
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-13,-25,-4,-4,-33,-22,9
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-14,-29,-7,-13,-36,-24,10
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-15,-32,-8,-25,-39,-25,10
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-16,-36,-7,-6,-39,-19,6
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-17,-33,-8,28,-38,-18,4
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-18,-23,-7,-6,-33,-23,9
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-19,-24,-8,-4,-33,-22,8
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-20,-25,-7,-10,-35,-22,9
EE,Estonia,,,,,,ChIJ_UuggpyUkkYRwyW0T7qf6kA,2021-01-21,-28,-10,-15,-35,-23,10
