country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-01,-89,-68,-3,-79,-90,34
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-02,-75,-27,1,-62,-42,14
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-03,-71,-14,12,-56,-24,10
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-04,-59,1,5,-48,-44,16
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-05,-61,-2,-9,-51,-44,17
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-06,-61,-1,6,-50,-43,17
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-07,-62,-3,0,-49,-44,17
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-08,-62,1,15,-48,-42,18
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-09,-66,-5,37,-49,-22,10
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-10,-67,-6,46,-51,-17,8
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-11,-59,0,6,-50,-41,16
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-12,-60,1,-4,-52,-41,16
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-13,-60,1,12,-51,-41,16
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-14,-61,0,-9,-52,-42,15
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-15,-63,-1,-18,-54,-42,17
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-16,-71,-14,-24,-61,-24,11
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-17,-73,-18,-16,-61,-21,9
LT,Lithuania,,,,,,ChIJE74zDxSU3UYRubpdpdNUCvM,2021-01-18,-62,-7,-19,-54,-44,17
